date,ticker,side,quantity,price
2025-10-28,LPB,SELL,100,53.0
2025-10-28,HT1,BUY,100,16.8
2025-10-28,HT1,BUY,100,16.8
2025-10-28,HT1,BUY,100,16.8
2025-10-28,HT1,BUY,100,16.8
2025-10-28,LPB,SELL,300,52.9
2025-10-28,HT1,BUY,300,17.1
2025-10-24,VNM,SELL,400,57.0
2025-10-23,TPB,SELL,100,18.0
2025-10-23,CTG,SELL,300,49.75
2025-10-23,HT1,BUY,1600,19.2
2025-10-23,VRE,SELL,100,39.0
2025-10-23,VJC,SELL,100,183.3
2025-10-23,VNM,SELL,100,56.8
2025-10-23,VNM,SELL,500,56.8
2025-10-23,VPB,SELL,100,30.5
2025-10-23,TCB,SELL,100,38.05
2025-10-23,STB,SELL,400,55.4
2025-10-23,SHB,SELL,2800,16.65
2025-10-23,HPG,SELL,7000,26.75
2025-10-21,ACB,SELL,100,25.25
2025-10-21,VNM,SELL,700,56.1
2025-10-21,HPG,SELL,2400,26.3
2025-10-20,HAG,SELL,100,16.35
2025-10-20,HPG,SELL,1600,28.25
